district,tot_schools,tot_students,tot_teachers,student_ratio,av_students,av_teachers
COLOMBO,401,361939,17860,20.3,903,45
GAMPAHA,536,348236,16570,21,650,31
KALUTARA,419,222256,11402,19.5,530,27
KANDY,650,274710,17952,15.3,423,28
MATALE,317,102515,6699,15.3,323,21
NUWARA ELIYA,550,161510,10436,15.5,294,19
GALLE,430,217607,11920,18.3,506,28
MATARA,358,163266,10468,15.6,456,29
HAMBANTOTA,321,135967,8205,16.6,424,26
JAFFNA,448,105189,9407,11.2,235,21
MANNAR,134,26052,2129,12.2,194,16
VAVUNIYA,174,36231,2948,12.3,208,17
MULLAITIVU,127,27221,2208,12.3,214,17
KILINOCHCHI,104,30897,2129,14.5,297,20
BATTICALOA,360,124396,7663,16.2,346,21
AMPARA,439,159080,10547,15.1,362,24
TRINCOMALEE,313,95172,6039,15.8,304,19
KURUNEGALA,875,336242,20472,16.4,384,23
PUTTALAM,371,165174,8775,18.8,445,24
ANURADHAPURA,563,203833,12196,16.7,362,22
POLONNARUWA,253,90589,5086,17.8,358,20
BADULLA,605,179429,13575,13.2,297,22
MONERAGALA,293,106298,6571,16.2,363,22
RATNAPURA,600,222650,13389,16.6,371,22
KEGALLE,524,165194,11946,13.8,315,23
